email,intent
Reschedule my flight to next Monday.,Reschedule Flight
Reschedule my flight to next Monday.,Reschedule Flight
What is the baggage allowance?,General Inquiry
Please cancel my booking ABC689.,Cancel Flight
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for Rahul from Delhi to Chennai tomorrow.,Book Flight
Reschedule my flight to next Monday.,Reschedule Flight
Please cancel my booking ABC538.,Cancel Flight
Reschedule my flight to next Monday.,Reschedule Flight
What is the baggage allowance?,General Inquiry
Book a flight for John from Mumbai to Kolkata tomorrow.,Book Flight
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for Priya from Delhi to Kolkata tomorrow.,Book Flight
Please cancel my booking ABC656.,Cancel Flight
Book a flight for John from Chennai to Chennai tomorrow.,Book Flight
Book a flight for Anita from Kolkata to Kolkata tomorrow.,Book Flight
What is the baggage allowance?,General Inquiry
What is the baggage allowance?,General Inquiry
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for Rahul from Chennai to Hyderabad tomorrow.,Book Flight
Please cancel my booking ABC246.,Cancel Flight
Book a flight for John from Chennai to Kolkata tomorrow.,Book Flight
Book a flight for Anita from Mumbai to Hyderabad tomorrow.,Book Flight
Book a flight for John from Bangalore to Bangalore tomorrow.,Book Flight
Book a flight for Sneha from Delhi to Delhi tomorrow.,Book Flight
What is the baggage allowance?,General Inquiry
Reschedule my flight to next Monday.,Reschedule Flight
Please cancel my booking ABC388.,Cancel Flight
What is the baggage allowance?,General Inquiry
Reschedule my flight to next Monday.,Reschedule Flight
What is the baggage allowance?,General Inquiry
Please cancel my booking ABC512.,Cancel Flight
Please cancel my booking ABC508.,Cancel Flight
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for Priya from Kolkata to Hyderabad tomorrow.,Book Flight
What is the baggage allowance?,General Inquiry
Please cancel my booking ABC576.,Cancel Flight
Please cancel my booking ABC806.,Cancel Flight
Please cancel my booking ABC367.,Cancel Flight
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for John from Hyderabad to Mumbai tomorrow.,Book Flight
What is the baggage allowance?,General Inquiry
Reschedule my flight to next Monday.,Reschedule Flight
Reschedule my flight to next Monday.,Reschedule Flight
What is the baggage allowance?,General Inquiry
Book a flight for Anita from Hyderabad to Chennai tomorrow.,Book Flight
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for Anita from Bangalore to Kolkata tomorrow.,Book Flight
What is the baggage allowance?,General Inquiry
Please cancel my booking ABC487.,Cancel Flight
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for Arjun from Mumbai to Bangalore tomorrow.,Book Flight
Please cancel my booking ABC382.,Cancel Flight
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for Anita from Delhi to Mumbai tomorrow.,Book Flight
Book a flight for Rahul from Kolkata to Chennai tomorrow.,Book Flight
Please cancel my booking ABC182.,Cancel Flight
What is the baggage allowance?,General Inquiry
What is the baggage allowance?,General Inquiry
Please cancel my booking ABC115.,Cancel Flight
Book a flight for John from Kolkata to Kolkata tomorrow.,Book Flight
What is the baggage allowance?,General Inquiry
Book a flight for Priya from Bangalore to Chennai tomorrow.,Book Flight
What is the baggage allowance?,General Inquiry
What is the baggage allowance?,General Inquiry
Please cancel my booking ABC405.,Cancel Flight
Book a flight for Priya from Kolkata to Chennai tomorrow.,Book Flight
Reschedule my flight to next Monday.,Reschedule Flight
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for Anita from Delhi to Hyderabad tomorrow.,Book Flight
Reschedule my flight to next Monday.,Reschedule Flight
Reschedule my flight to next Monday.,Reschedule Flight
Please cancel my booking ABC173.,Cancel Flight
Please cancel my booking ABC234.,Cancel Flight
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for John from Chennai to Chennai tomorrow.,Book Flight
Please cancel my booking ABC120.,Cancel Flight
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for Anita from Bangalore to Mumbai tomorrow.,Book Flight
Book a flight for John from Chennai to Mumbai tomorrow.,Book Flight
Reschedule my flight to next Monday.,Reschedule Flight
Please cancel my booking ABC997.,Cancel Flight
Book a flight for Rahul from Mumbai to Mumbai tomorrow.,Book Flight
Reschedule my flight to next Monday.,Reschedule Flight
What is the baggage allowance?,General Inquiry
What is the baggage allowance?,General Inquiry
What is the baggage allowance?,General Inquiry
Please cancel my booking ABC931.,Cancel Flight
What is the baggage allowance?,General Inquiry
Please cancel my booking ABC754.,Cancel Flight
Please cancel my booking ABC513.,Cancel Flight
Book a flight for Anita from Chennai to Mumbai tomorrow.,Book Flight
What is the baggage allowance?,General Inquiry
Reschedule my flight to next Monday.,Reschedule Flight
What is the baggage allowance?,General Inquiry
Please cancel my booking ABC876.,Cancel Flight
What is the baggage allowance?,General Inquiry
What is the baggage allowance?,General Inquiry
What is the baggage allowance?,General Inquiry
Please cancel my booking ABC986.,Cancel Flight
Book a flight for Arjun from Chennai to Delhi tomorrow.,Book Flight
What is the baggage allowance?,General Inquiry
What is the baggage allowance?,General Inquiry
Please cancel my booking ABC977.,Cancel Flight
Book a flight for Sneha from Bangalore to Mumbai tomorrow.,Book Flight
Reschedule my flight to next Monday.,Reschedule Flight
Please cancel my booking ABC507.,Cancel Flight
Book a flight for Anita from Mumbai to Chennai tomorrow.,Book Flight
Please cancel my booking ABC986.,Cancel Flight
Book a flight for Anita from Chennai to Chennai tomorrow.,Book Flight
Please cancel my booking ABC589.,Cancel Flight
Please cancel my booking ABC703.,Cancel Flight
What is the baggage allowance?,General Inquiry
Reschedule my flight to next Monday.,Reschedule Flight
Reschedule my flight to next Monday.,Reschedule Flight
Reschedule my flight to next Monday.,Reschedule Flight
What is the baggage allowance?,General Inquiry
What is the baggage allowance?,General Inquiry
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for Rahul from Mumbai to Hyderabad tomorrow.,Book Flight
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for Anita from Chennai to Hyderabad tomorrow.,Book Flight
Please cancel my booking ABC415.,Cancel Flight
What is the baggage allowance?,General Inquiry
Book a flight for Rahul from Kolkata to Delhi tomorrow.,Book Flight
Book a flight for Rahul from Delhi to Chennai tomorrow.,Book Flight
Book a flight for John from Kolkata to Chennai tomorrow.,Book Flight
Please cancel my booking ABC116.,Cancel Flight
What is the baggage allowance?,General Inquiry
What is the baggage allowance?,General Inquiry
Please cancel my booking ABC350.,Cancel Flight
Please cancel my booking ABC206.,Cancel Flight
Reschedule my flight to next Monday.,Reschedule Flight
Please cancel my booking ABC730.,Cancel Flight
What is the baggage allowance?,General Inquiry
Please cancel my booking ABC779.,Cancel Flight
Please cancel my booking ABC586.,Cancel Flight
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for Rahul from Chennai to Chennai tomorrow.,Book Flight
Please cancel my booking ABC674.,Cancel Flight
What is the baggage allowance?,General Inquiry
What is the baggage allowance?,General Inquiry
Book a flight for Anita from Mumbai to Chennai tomorrow.,Book Flight
What is the baggage allowance?,General Inquiry
Book a flight for Arjun from Kolkata to Chennai tomorrow.,Book Flight
Please cancel my booking ABC863.,Cancel Flight
What is the baggage allowance?,General Inquiry
Reschedule my flight to next Monday.,Reschedule Flight
Reschedule my flight to next Monday.,Reschedule Flight
Reschedule my flight to next Monday.,Reschedule Flight
Reschedule my flight to next Monday.,Reschedule Flight
Please cancel my booking ABC300.,Cancel Flight
What is the baggage allowance?,General Inquiry
What is the baggage allowance?,General Inquiry
Book a flight for Rahul from Chennai to Bangalore tomorrow.,Book Flight
Please cancel my booking ABC664.,Cancel Flight
Reschedule my flight to next Monday.,Reschedule Flight
Book a flight for Rahul from Bangalore to Kolkata tomorrow.,Book Flight
Reschedule my flight to next Monday.,Reschedule Flight
Reschedule my flight to next Monday.,Reschedule Flight
